Saturn 
(T,P) and mole fractions

(300, 13.21)
 N2H4            5.730-18
 *OH             3.915-15
 *P              5.430-18
 PH              2.837-14
 PH2             2.921-10
 PH3             4.3904-7
 PN              1.381-15
 PO              7.144-16
 PO2             1.474-19
 PS              1.146-15
 P2              7.362-15
 *S              3.256-17
 SH              1.901-11
 SO              7.123-19
 SO2             1.698-20
 S2              2.233-16

(1200,1526.32)
 *Br             1.364-15
 *CL             2.561-15
 *Ge             2.161-15
 GeBr            5.109-17
 GeCL            1.720-13
 GeCL2           2.167-15
 GeF             3.350-16
 GeF2            1.637-15
 GeH4            5.3113-9
 GeO             1.770-11
 GeS             2.3035-9
 GeS2            8.594-18
 Ge2             4.346-20
 *H              4.6709-9
 HBr             5.926-10
 HCL             5.4019-7
 *HF             6.2053-8
 HPO             2.587-15
 *H2             8.5372-1
 H2F2            2.470-15
 H2O             8.3763-4
 H2S             2.2562-5
 *He             1.4530-1
 *NH             1.472-18
 NH2             1.217-12
 NH3             1.1506-4
 NH2OH           1.959-18
 *NO             7.628-20
 *N2             2.4799-7
 N2H2            2.302-19
 N2H4            3.412-17
 *OH             4.499-14
 *P              6.303-17
 PCL             3.634-20
 PH              1.702-13
 PH2             7.203-10
 PH3             4.3861-7
 PN              5.950-15
 PO              3.396-15
 PO2             6.623-19
 PS              3.657-15
 P2              1.499-14
 *S              3.910-16
 SH              7.493-11
 SN              9.795-20
 SO              6.664-18
 SO2             9.758-20
 S2              8.504-16


(1300,2036.68)
 MOLE FRACTIONS

 *Br             3.844-15
 *CL             1.209-14
 *Ge             1.235-14
 GeBr            7.372-17
 GeCL            2.258-13
 GeCL2           1.061-15
 GeF             6.046-16
 GeF2            5.832-16
 GeH4            5.8008-9
 GeO             2.836-11
 GeS             1.8034-9
 GeS2            1.050-17
 Ge2             2.238-19
 *H              2.2670-8
 HBr             5.927-10
 HCL             5.4019-7
 *HF             6.2053-8
 HNO             1.183-20
 HOCL            1.332-20
 HPO             8.411-15
 *H2             8.5372-1
 H2F2            2.869-15
 H2O             8.3763-4
 H2S             2.2563-5
 *He             1.4530-1
 *NH             2.657-17
 NH2             6.695-12
 NH3             1.1490-4
 NH2OH           1.335-17
 *NO             1.052-18
 *N2             3.2950-7
 N2H2            1.987-18
 N2H4            1.554-16
 *OH             3.513-13
 *P              4.813-16
 PCL             1.610-19
 PF              2.241-20
 PH              7.521-13
 PH2             1.5200-9
 PH3             4.3781-7
 PN              1.940-14
 PO              1.221-14
 PO2             2.280-18
 PS              9.359-15
 P2              2.577-14
 *S              3.127-15
 SH              2.362-10
 SN              9.467-19
 SO              4.325-17
 SO2             4.213-19
 S2              2.572-15


(1400,2669.30)
 MOLE FRACTIONS

 *Br             9.264-15
 *CL             4.530-14
 *F              7.518-20
 *Ge             5.202-14
 GeBr            9.640-17
 GeCL            2.725-13
 GeCL2           5.571-16
 GeF             9.596-16
 GeF2            2.335-16
 GeH4            6.2136-9
 GeO             4.016-11
 GeS             1.3786-9
 GeS2            1.181-17
 Ge2             8.310-19
 *H              8.7076-8
 HBr             5.923-10
 HCL             5.4019-7
 *HF             6.2053-8
 HNO             1.304-19
 HOCL            7.659-20
 HPO             2.256-14
 *H2             8.5372-1
 H2F2            3.355-15
 H2O             8.3763-4
 H2O2            4.182-20
 H2S             2.2563-5
 *He             1.4530-1
 *N              4.818-20
 *NH             3.105-16
 NH2             2.854-11
 NH3             1.1476-4
 NH2OH           6.968-17
 *NO             9.677-18
 *N2             4.0214-7
 N2H2            1.239-17
 N2H4            5.729-16
 *O              1.570-19
 *OH             2.025-12
 *P              2.647-15
 PCL             5.614-19
 PF              7.730-20
 PH              2.616-12
 PH2             2.8378-9
 PH3             4.3649-7
 PN              5.087-14
 PO              3.528-14
 PO2             6.366-18
 PS              2.015-14
 P2              3.880-14
 *S              1.819-14
 SCL             1.235-20
 SH              6.244-10
 SN              6.402-18
 SO              2.106-16
 SO2             1.452-18
 S2              6.497-15
