166.09999999999999,1.0
207.06,2.0
234.87,3.0
256.52999999999997,4.0
274.54000000000002,5.0
290.10000000000002,6.0
303.88,7.0
316.31,8.0
327.67000000000002,9.0
338.16000000000003,10.0
347.92000000000002,11.0
357.07999999999998,12.0
365.70999999999998,13.0
373.87,14.0
381.63999999999999,15.0
389.04000000000002,16.0
396.13,17.0
402.93000000000001,18.0
409.45999999999998,19.0
415.75,20.0
421.82999999999998,21.0
427.69999999999999,21.999999999999996
450.0,26.118886266360445
475.0,31.353004437825057
500.0,37.28801101810177
525.0,43.976109674645294
550.0,51.470938621183798
575.0,59.827577749026617
600.0,69.102661333174765
625.0,79.354518557552467
650.0,90.643262213723432
675.0,103.03085700137305
700.0,116.58125120979111
725.0,131.3605241058724
750.0,147.43699183242384
775.0,164.88129888947003
800.0,183.76655593510733
825.0,204.16848604565214
850.0,226.16551847547058
875.0,249.83886235000313
900.0,275.27262535851418
925.0,302.55393472846833
950.0,331.77300337651576
975.0,363.02317350187616
1000.0,396.4009974852824
1025.0,432.0063162611537
1050.0,469.94231845400645
1075.0,510.31558869789455
1100.0,553.23616014029358
1125.0,598.81756173067413
1150.0,647.1768948830985
1175.0,698.43491532155315
1200.0,752.71608034205235
1225.0,810.1485875321182
1250.0,870.86440354361855
1275.0,934.99928376214416
1300.0,1002.6927845747539
1325.0,1074.0882722458339
1350.0,1149.3330704603866
1375.0,1228.5786452884167
1400.0,1311.9806710597879
1425.0,1399.6990820154022
1450.0,1491.8979904059759
1475.0,1588.7455607618094
1500.0,1690.4139758904309
1525.0,1797.0794073194475
1550.0,1908.9222403530616
1575.0,2026.1273641302239
1600.0,2148.8842472414481
1625.0,2277.3869988918505
1650.0,2411.8343443601011
1675.0,2552.4295760159466
1700.0,2699.3805685517814
1725.0,2852.8997937432896
1750.0,3013.2043578455014
1775.0,3180.5160408982852
1800.0,3355.0613085925165
1825.0,3537.0713274878262
1850.0,3726.782190663549
1875.0,3924.4351933534863
1900.0,4130.276934081372
1925.0,4344.5594000926421
1950.0,4567.53981430985
1975.0,4799.4804262122252
2000.0,5040.6484983103901
